id;name
0;Incantation rapide
1;Magie de l'illusion
2;MAgie de domination
3;Magie de l'inspiration
4;Magie du sang
5;Magie de la mort
6;Moisson des âmes
7;Malédiction
8;Magie de l'air
9;Magie de la terre
10;Magie du feu
11;Magie de l'eau
12;Conservation d'énergie
13;Prières de guérison
14;Prières de châtiment
15;Prières de protection
16;Faveur divine
17;Force
18;Maîtrise de la hache
19;Maîtrise du marteau
20;Maîtrise de l'épee
21;Tactique
22;Domptage
23;Expertise
24;Survie
25;Adresse au tir
29;Maîtrise de la dague
30;Arts létaux
31;Arts des ombres
32;Communion
33;Magie de restauration
34;Magie de la canalisation
35;Attaques critiques
36;Puissance de l'invocation
37;Maîtrise du javelot
38;Commandement
39;Motivation
40;Charisme
41;Maîtrise de la faux
42;Prières du vent
43;Prières de la terre
44;Mysticisme
990;Titre Luxon
991;Titre Kurzick
992;Titre Lancier du soleil
993;Titre Porteur de lumière
994;Titre Norn
995;Titre Avant-guarde d'Ebon
996;Titre Deldrimor
997;Titre Asura
999;Aucun
