id;name
0;Droajam, Mage des sables
1;Royen le Belluaire
2;Ettin d'Eldritch
3;Aaxte Revanchard
4;Fronis Orteildacier
5;Urgoz
6;Fenrir
7;Selvebras
8;Mohby Brise-vent
9;Fantôme d'obscurité
10;Ecaille-Morte
11;Zoldark l'Impie
12;Korshek l'immolé
13;Myish, Dame du lac
14;Mord-givre la Fratricide
15;Kunvie Ailedefeu
16;Z'him Monns
17;La Grande Obscurité
18;Golem régulateur PST
19;Fléau de destruction
20;Les Obscurs
21;Amiral Kantoh
22;Borrguus Ecorscloc
23;Forgêtre
24;Baubao Vague-de-colère
25;Joffs le Pacificateur
26;Rragar Manjhomm
27;Chung l'Accordé
28;Seigneur Jadoth
29;Nulfastu le Terrestre
30;Le Forgeron
31;Magmus
32;Mobrin, le Seigneur des marais
33;Jarimiya le sans pitié
34;Duncan le sombre
35;Quansong Esprit-parleur
36;The Stygian Underlords
37;Fozzy Yeoryios
38;La Bête Noire de Arrgh
39;Arachnie
40;Les quatre cavaliers
41;Spectre de l'Antiquité
42;Arbor Cridelaterre
43;Vase prismatique
44;Seigneur Khobay
45;Jedeh le Puissant
46;Ssuns, Elu de Dwayna
47;Justicier Thommis
48;Harn et Maxine Pierrefroide
49;Pywatt le Rapide
50;Fendi Nin
51;Mungri Boitamagie
52;Prêtre de Menzies
53;Ilsundur, Seigneur du feu
54;Kepkhet Festinfuneste
55;Commandant Wahli
56;Kanaxai
57;Khabuus
58;Molotov Rocktail
59;The Stygian Lords
60;Dragon liche
61;Havok Lamentâme
62;Ghial Danse-des-os
63;Murakai, Dame de la Nuit
64;Rand Tissorages
65;Verata
