id;name
0;Carrière de jade
1;Arène codex
2;Ascension des héros
3;Guilde contre guilde
4;Bataille d'alliance
5;Ascension des héros
6;Guilde contre guilde
7;Arène codex
8;Fort trembleforêt
9;Carrière de jade
10;Arène aléatoire
11;Arène codex
12;Guilde contre guilde
13;Carrière de jade
14;Bataille d'alliance
15;Ascension des héros
16;Arène aléatoire
17;Fort trembleforêt
18;Carrière de jade
19;Arène aléatoire
20;Fort trembleforêt
21;Ascension des héros
22;Bataille d'alliance
23;Guilde contre guilde
24;Arène codex
25;Arène aléatoire
26;Fort trembleforêt
27;Bataille d'alliance
