key;content
time-days;jours
event-no-running;Aucune festivité en cours !
event-started;a commencé !
event-end;L'évènement se termine dans :
event-next;Le prochain évènement est
event-begin;L'évènement commence dans :
zaishen-quest-headline;Les quêtes Zaishen aujourd'hui sont :
zaishen-quest-mission;Mission Zaishen :
zaishen-quest-bounty;Prime Zaishen :
zaishen-quest-combat;Combat Zaishen :
zaishen-quest-vanquish;Vainqueur Zaishen :
zaishen-quest-reset;Les quêtes d'aujourd'hui vont se réinitialiser dans
zaishen-quest-tomorrow-headline;Les quêtes Zaishen de demain seront :
nicholas-gift-headline;Cette semaine
nicholas-gift-next-headline;La semaine prochaine :
nicholas-gift-collecting;Nicholas le voyageur échange
nicholas-gift-per;par présent
nicholas-gift-in;à
nicholas-gift-moving;Partira dans
nicholas-gift-found;Se trouvera à
bonus-headline;Cette semaine :
bonus-next-headline;La semaine prochaine :
bonus-next-pve;Bonus PvE :
bonus-next-pvp;Bonus PvP :
bonus-next-expire;Les bonus de cette semaine expire dans
bonus-next-start;Ces bonus prendront effet dans
skill-prefix;Compétence
