id;name
0;Roche de l'Augure
1;Grand-cour de Sebelkeh
2;Grottes des Larmes gelées
3;Palais de Raisu
4;Porte de la Désolation
5;Rivière assoiffée
6;Antre de Marée Noire
7;Contre les Charrs
8;Bouche d'Abaddon
9;Baie de Nundu
10;Côte des Divinités
11;Zen Daijun
12;Passage de Pogahn
13;Temple de Tahnnakai
14;Le Grand Rempart Nord
15;Vestibule de Dasha
16;Contrées sauvages
17;Eaux Endormies
18;Village de Chahbek
19;Clairière de l'Aurore
20;L'heure des héros
21;Embarcadère du consulat
22;Archipel des Iles de Feu
23;Quartiers de Nahpui
24;Antre du Dragon
25;Bastion de Dzagonur
26;Côte d'Alessio
27;Assaut sur la forteresse
28;Le Verger Eternel
29;Récif sacré
30;Refuge de Rilohn
31;Frères d'armes
32;Passage de Borlis
33;Appartements impériaux
34;Fissure de Moddok
35;Académie de Nolani
36;Profondeurs de la destruction
37;Cimetière de Venta
38;Fort Ranik
39;Un portail trop loin
40;Domaine du ministre Cho
41;Donjon de Chef-Tonnerre
42;Verger de Tihark
43;A la recherche de la Pierre de Sang
44;Dunes du Désespoir
45;Place de Vizunah
46;Excavations de Jokanur
47;Mines de Fer de Moladune
48;Croisement de Kodonur
49;G.O.L.E.M.
50;Pierre Arborea
51;Porte de Kryte
52;Porte de la folie
53;Une golèmancienne insaisissable
54;Provinces Fluviales
55;Fonds Marins de Boreas
56;Ruines de Morah
57;Précipice de l'Enfer
58;Ruines de Surmia
59;La malédiction de l'ours norn
60;District de Sunjiang
61;Bief d'Elona
62;Porte de la douleur
63;Le sang par le sang...
64;Marais de la Pierre de Sang
65;Horde de Jennur
66;Couvoir de Gyala
67;Porte d'Abaddon
68;La Porte de Givre
