id;item;location;region;campaign;item_url;location_screenshot_url
0;1 Drake Kabob;Iles d'Issnur;Istan;Nightfall;https://wiki.guildwars.com/wiki/Drake_Kabob;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Issnur_Isles_map.jpg
1;3 Amber Chunks;Vallon de la Fougère;Forêt d'Echovald;Factions;https://wiki.guildwars.com/wiki/Amber_Chunk;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Ferndale_map.jpg
2;2 Glowing Hearts;Côte de la Raie;Kryte;Prophecies;https://wiki.guildwars.com/wiki/Glowing_Heart;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Stingray_Strand_map.jpg
3;5 Saurian Bones;Terre Déchiquetée;Côte Ternie;Eye of the North;https://wiki.guildwars.com/wiki/Saurian_Bone;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Riven_Earth_map.jpg
4;2 Behemoth Hides;Terres sauvages de Bahdza;Vabbi;Nightfall;https://wiki.guildwars.com/wiki/Behemoth_Hide;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Wilderness_of_Bahdza_map.jpg
5;1 Luminous Stone;Plateau de Cristal;La Désolation;Nightfall;https://wiki.guildwars.com/wiki/Luminous_Stone;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Crystal_Overlook_map.jpg
6;3 Intricate Grawl Necklaces;Le palais de Witman;Cimefroides du Sud;Prophecies;https://wiki.guildwars.com/wiki/Intricate_Grawl_Necklace;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Witman%27s_Folly_map.jpg
7;3 Jadeite Shards;Passage de l'Ombre;Cité de Kaineng;Factions;https://wiki.guildwars.com/wiki/Jadeite_Shard;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Shadow%27s_Passage_map.jpg
8;1 Gold Doubloon;Côte Barbare;Kourna;Nightfall;https://wiki.guildwars.com/wiki/Gold_Doubloon;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Barbarous_Shore_map.jpg
9;2 Shriveled Eyes;Etendues célestes;Désert de Crystal;Prophecies;https://wiki.guildwars.com/wiki/Shriveled_Eye;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Skyward_Reach_map.jpg
10;2 Icy Lodestones;Dôme de Glace;Cimefroides du Sud;Prophecies;https://wiki.guildwars.com/wiki/Icy_Lodestone;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Icedome_map.jpg
