skillId;skillUri;skillIcon;skillInfos;skillStats;onlyPve;elite
0;;https://wiki.guildwars.com/images/e/eb/Blank.jpg;;;;
1;https://wiki.guildwars.com/wiki/Healing_Signet;https://wiki.guildwars.com/images/e/e6/Healing_Signet.jpg;Profession=1|Attribute=21|Type=1;Activation=2|Recharge=4;false;false
2;https://wiki.guildwars.com/wiki/Resurrection_Signet;https://wiki.guildwars.com/images/e/e0/Resurrection_Signet.jpg;Type=1;Activation=3|Recharge=morale boost;false;false
3;https://wiki.guildwars.com/wiki/Signet_of_Capture;https://wiki.guildwars.com/images/8/8d/Signet_of_Capture.jpg;Type=1;Activation=2|Recharge=2;true;false
5;https://wiki.guildwars.com/wiki/Power_Block;https://wiki.guildwars.com/images/5/5e/Power_Block.jpg;Profession=5|Attribute=2|Type=0;Energy=15|Activation=0.25|Recharge=20;false;true
6;https://wiki.guildwars.com/wiki/Mantra_of_Earth;https://wiki.guildwars.com/images/0/00/Mantra_of_Earth.jpg;Profession=5|Attribute=3|Type=7;Energy=10|Recharge=20;false;false
7;https://wiki.guildwars.com/wiki/Mantra_of_Flame;https://wiki.guildwars.com/images/f/f8/Mantra_of_Flame.jpg;Profession=5|Attribute=3|Type=7;Energy=10|Recharge=20;false;false
8;https://wiki.guildwars.com/wiki/Mantra_of_Frost;https://wiki.guildwars.com/images/6/6a/Mantra_of_Frost.jpg;Profession=5|Attribute=3|Type=7;Energy=10|Recharge=20;false;false
9;https://wiki.guildwars.com/wiki/Mantra_of_Lightning;https://wiki.guildwars.com/images/d/d4/Mantra_of_Lightning.jpg;Profession=5|Attribute=3|Type=7;Energy=10|Recharge=20;false;false
10;https://wiki.guildwars.com/wiki/Hex_Breaker;https://wiki.guildwars.com/images/3/3d/Hex_Breaker.jpg;Profession=5|Attribute=2|Type=7;Energy=5|Recharge=15;false;false
11;https://wiki.guildwars.com/wiki/Distortion;https://wiki.guildwars.com/images/8/8f/Distortion.jpg;Profession=5|Attribute=1|Type=7;Energy=5|Recharge=8;false;false
13;https://wiki.guildwars.com/wiki/Mantra_of_Recovery;https://wiki.guildwars.com/images/0/00/Mantra_of_Recovery.jpg;Profession=5|Attribute=0|Type=7;Energy=5|Recharge=15;false;true
14;https://wiki.guildwars.com/wiki/Mantra_of_Persistence;https://wiki.guildwars.com/images/e/e7/Mantra_of_Persistence.jpg;Profession=5|Attribute=3|Type=7;Energy=5|Recharge=15;false;false
15;https://wiki.guildwars.com/wiki/Mantra_of_Inscriptions;https://wiki.guildwars.com/images/d/da/Mantra_of_Inscriptions.jpg;Profession=5|Attribute=3|Type=7;Energy=10|Recharge=20;false;false
16;https://wiki.guildwars.com/wiki/Mantra_of_Concentration;https://wiki.guildwars.com/images/2/2a/Mantra_of_Concentration.jpg;Profession=5|Attribute=3|Type=7;Energy=5|Recharge=30;false;false
17;https://wiki.guildwars.com/wiki/Mantra_of_Resolve;https://wiki.guildwars.com/images/2/22/Mantra_of_Resolve.jpg;Profession=5|Attribute=3|Type=7;Energy=10|Recharge=20;false;false
18;https://wiki.guildwars.com/wiki/Mantra_of_Signets;https://wiki.guildwars.com/images/c/c4/Mantra_of_Signets.jpg;Profession=5|Attribute=3|Type=7;Energy=5|Recharge=20;false;false
19;https://wiki.guildwars.com/wiki/Fragility;https://wiki.guildwars.com/images/4/42/Fragility.jpg;Profession=5|Attribute=1|Type=2;Energy=5|Activation=1|Recharge=5;false;false
21;https://wiki.guildwars.com/wiki/Inspired_Enchantment;https://wiki.guildwars.com/images/1/12/Inspired_Enchantment.jpg;Profession=5|Attribute=3|Special=duplicate skill|Type=0;Energy=10|Activation=1;false;false
