skillId;skillName;skillDescription
0;No Skill;No Skill
1;Healing Signet;Signet. You gain 82...154...172 Health. You have -40 armor while using this skill.
2;Resurrection Signet;Signet. Resurrect target party member. That party member is returned to life with 100% Health and 25% Energy. This signet only recharges when you gain a morale boost.
3;Signet of Capture;Signet. Choose one skill from a nearby dead Boss of your profession. Signet of Capture is permanently replaced by that skill. If that skill was elite, gain 250 XP for every level you have earned.
5;Power Block;Elite Spell. If target foe is casting a spell or chant, that skill and all skills of the same attribute are disabled for 1...10...12 seconds and that skill is interrupted.
6;Mantra of Earth;Stance. For 30...78...90 seconds, whenever you take earth damage, the damage is reduced by 26...45...50% and you gain 2 Energy.
7;Mantra of Flame;Stance. For 30...78...90 seconds, whenever you take fire damage, the damage is reduced by 26...45...50% and you gain 2 Energy.
8;Mantra of Frost;Stance. For 30...78...90 seconds, whenever you take cold damage, the damage is reduced by 26...45...50% and you gain 2 Energy.
9;Mantra of Lightning;Stance. For 30...78...90 seconds, whenever you take lightning damage, the damage is reduced by 26...45...50% and you gain 2 Energy.
10;Hex Breaker;Stance. For 5...65...80 seconds, the next time you are the target of a hex, that hex fails and the caster takes 10...39...46 damage.
11;Distortion;Stance.  For 1...4...5 second[s], you have a 75% chance to block attacks.  Whenever you block an attack this way, you lose 2 Energy or Distortion ends.
13;Mantra of Recovery;Elite Stance. For 5...17...20 seconds, spells you cast recharge 33% faster.
14;Mantra of Persistence;Stance. For 5...21...25 seconds, any Illusion Magic hex you cast lasts 10...34...40% longer.
15;Mantra of Inscriptions;Stance. For 5...21...25 seconds, signets you successfully activate while in this stance recharge 10...34...40% faster.
16;Mantra of Concentration;Stance. For 1...31...38 seconds, the next time you would be interrupted, you are not interrupted.
17;Mantra of Resolve;Stance. For 30...78...90 seconds, you cannot be interrupted, but each time you would have been interrupted, you lose 10...5...4 Energy or Mantra of Resolve ends.
18;Mantra of Signets;Stance. For 10...34...40 seconds, you have +3 armor for each signet you have equipped. Whenever you use a signet you gain 5...49...60 health.
19;Fragility;Hex Spell. For 8...18...20 seconds, target and adjacent foes take 5...17...20 damage each time they suffer or recover from a new condition.
21;Inspired Enchantment;Spell. Removes an enchantment from target foe and gain 3...13...15 Energy. For 20 seconds, Inspired Enchantment is replaced with the enchantment removed from target foe.
22;Inspired Hex;Spell. Remove a hex from target ally and gain 4...9...10 Energy. For 20 seconds, Inspired Hex is replaced with the hex that was removed.
23;Power Spike;Spell. If target foe is casting a spell or a chant, that skill is interrupted and target foe takes 30...102...120 damage.
24;Power Leak;Spell. If target foe is casting a spell or chant, that skill is interrupted and target foe loses 3...14...17 Energy.
25;Power Drain;Spell. If target foe is casting a spell or chant, that skill is interrupted and you gain 1...25...31 Energy.
26;Empathy;Hex Spell. For 5...13...15 seconds, whenever target foe attacks, that foe takes 10...46...55 damage and deals 1...12...15 less damage.
27;Shatter Delusions;Spell. Remove one Mesmer hex from target foe. If a hex was removed, that foe and all adjacent foes takes 15...63...75 damage.
28;Backfire;Hex Spell. For 10 seconds, whenever target foe casts a spell, that foe takes 35...119...140 damage.
29;Blackout;Skill. For 2...5...6 seconds, all of touched target foe's skills are disabled, and all of your skills are disabled for 5 seconds.
30;Diversion;Hex Spell. For 6 seconds, the next time target foe uses a skill, that skill takes an additional 10...47...56 seconds to recharge.
31;Conjure Phantasm;Hex Spell.  For 2...13...16 seconds, target foe experiences -5 Health degeneration.
32;Illusion of Weakness;Enchantment Spell. You lose 50...202...240 Health. Illusion of Weakness ends if damage drops your Health below 25% of your maximum. When Illusion of Weakness ends, you gain 50...202...240 Health.
33;Illusionary Weaponry;Elite Enchantment Spell. For 30 seconds, your melee attacks neither hit nor fail to hit. Instead, Illusionary Weaponry deals 8...34...40 damage to your targets for each melee attack. You have +5 armor for each equipped Illusion Magic skill.
34;Sympathetic Visage;Enchantment Spell. For 4...9...10 seconds, whenever target ally is hit by a melee attack, all adjacent foes lose all adrenaline and 3 Energy.
35;Ignorance;Hex Spell. For 8...18...20 seconds target foe cannot use signets.
36;Arcane Conundrum;Hex Spell. For 5...13...15 seconds, spells cast by target foe and all adjacent foes take twice as long to cast. When this hex ends, you gain 1...6...7 energy. [sic]
37;Illusion of Haste;Enchantment Spell. For 5...10...11 seconds you are no longer Crippled, and you move 33% faster. When Illusion of Haste ends, you become Crippled for 3 seconds.
38;Channeling;Enchantment Spell. For 8...46...56 seconds, whenever you cast a spell, you gain 1 Energy for each foe in the area.
39;Energy Surge;Elite Spell. Target foe loses 1...8...10 Energy. For each point of Energy lost, that foe and all nearby foes take 9 damage.
