skillId;skillName;skillDescription
0;Vide;Vide
1;Sceau de guérison;Signet. You gain 82...154...172 Health. You have -40 armor while using this skill.
2;Sceau de ressurection;Signet. Resurrect target party member. That party member is returned to life with 100% Health and 25% Energy. This signet only recharges when you gain a morale boost.
3;Sceau de capture;Signet. Choose one skill from a nearby dead Boss of your profession. Signet of Capture is permanently replaced by that skill. If that skill was elite, gain 250 XP for every level you have earned.
5;Blocage de pouvoir;Elite Spell. If target foe is casting a spell or chant, that skill and all skills of the same attribute are disabled for 1...10...12 seconds and that skill is interrupted.
6;Mantra de la Terre;Stance. For 30...78...90 seconds, whenever you take earth damage, the damage is reduced by 26...45...50% and you gain 2 Energy.
7;Mantra de flamme;Stance. For 30...78...90 seconds, whenever you take fire damage, the damage is reduced by 26...45...50% and you gain 2 Energy.
8;Mantra de givre;Stance. For 30...78...90 seconds, whenever you take cold damage, the damage is reduced by 26...45...50% and you gain 2 Energy.
9;Mantra de foudre;Stance. For 30...78...90 seconds, whenever you take lightning damage, the damage is reduced by 26...45...50% and you gain 2 Energy.
10;Leveur de maléfice;Stance. For 5...65...80 seconds, the next time you are the target of a hex, that hex fails and the caster takes 10...39...46 damage.
11;Distorsion;Stance. For 1...4...5 second[s], you have a 75% chance to block attacks.  Whenever you block an attack this way, you lose 2 Energy or Distortion ends.
13;Mantra de récupération;Elite Stance. For 5...17...20 seconds, spells you cast recharge 33% faster.
14;Mantra de persévérance;Stance. For 5...21...25 seconds, any Illusion Magic hex you cast lasts 10...34...40% longer.
15;Mantra des inscriptions;Stance. For 5...21...25 seconds, signets you successfully activate while in this stance recharge 10...34...40% faster.
16;Mantra de concentration;Stance. For 1...31...38 seconds, the next time you would be interrupted, you are not interrupted.
17;Mantra de résolution;Stance. For 30...78...90 seconds, you cannot be interrupted, but each time you would have been interrupted, you lose 10...5...4 Energy or Mantra of Resolve ends.
18;Mantra des sceaux;Stance. For 10...34...40 seconds, you have +3 armor for each signet you have equipped. Whenever you use a signet you gain 5...49...60 health.
19;Fragilité;Hex Spell. For 8...18...20 seconds, target and adjacent foes take 5...17...20 damage each time they suffer or recover from a new condition.
21;Enchantement inspiré;Spell. Removes an enchantment from target foe and gain 3...13...15 Energy. For 20 seconds, Inspired Enchantment is replaced with the enchantment removed from target foe.
22;Maléfice inspiré;Spell. Remove a hex from target ally and gain 4...9...10 Energy. For 20 seconds, Inspired Hex is replaced with the hex that was removed.
23;Dissipation de pouvoir;Spell. If target foe is casting a spell or a chant, that skill is interrupted and target foe takes 30...102...120 damage.
24;Fuite de pouvoir;Spell. If target foe is casting a spell or chant, that skill is interrupted and target foe loses 3...14...17 Energy.
25;Drain de pouvoir;Spell. If target foe is casting a spell or chant, that skill is interrupted and you gain 1...25...31 Energy.
26;Empathie;Hex Spell. For 5...13...15 seconds, whenever target foe attacks, that foe takes 10...46...55 damage and deals 1...12...15 less damage.
27;Dispersion des illusions;Spell. Remove one Mesmer hex from target foe. If a hex was removed, that foe and all adjacent foes takes 15...63...75 damage.
28;Retour de flamme;Hex Spell. For 10 seconds, whenever target foe casts a spell, that foe takes 35...119...140 damage.
29;Black-out;Skill. For 2...5...6 seconds, all of touched target foe's skills are disabled, and all of your skills are disabled for 5 seconds.
30;Diversion;Hex Spell. For 6 seconds, the next time target foe uses a skill, that skill takes an additional 10...47...56 seconds to recharge.
31;Conjuration de fantasme;Hex Spell.  For 2...13...16 seconds, target foe experiences -5 Health degeneration.
32;Illusion de faiblesse;Enchantment Spell. You lose 50...202...240 Health. Illusion of Weakness ends if damage drops your Health below 25% of your maximum. When Illusion of Weakness ends, you gain 50...202...240 Health.
33;Armes illusoires;Elite Enchantment Spell. For 30 seconds, your melee attacks neither hit nor fail to hit. Instead, Illusionary Weaponry deals 8...34...40 damage to your targets for each melee attack. You have +5 armor for each equipped Illusion Magic skill.
34;Visage avenant;Enchantment Spell. For 4...9...10 seconds, whenever target ally is hit by a melee attack, all adjacent foes lose all adrenaline and 3 Energy.
35;Ignorance;Hex Spell. For 8...18...20 seconds target foe cannot use signets.
36;Enigme des Arcanes;Hex Spell. For 5...13...15 seconds, spells cast by target foe and all adjacent foes take twice as long to cast. When this hex ends, you gain 1...6...7 energy. [sic]
37;Illusion de hâte;Enchantment Spell. For 5...10...11 seconds you are no longer Crippled, and you move 33% faster. When Illusion of Haste ends, you become Crippled for 3 seconds.
38;Canalisation;Enchantment Spell. For 8...46...56 seconds, whenever you cast a spell, you gain 1 Energy for each foe in the area.
39;Afflux d'énergie;Elite Spell. Target foe loses 1...8...10 Energy. For each point of Energy lost, that foe and all nearby foes take 9 damage.
40;Festin éthéré;Spell. Target foe loses 3 Energy. You are healed 20...56...65 for each point of Energy lost.
41;Seigneur éthéré;Hex Spell. You lose all Energy. For 5...9...10 seconds, target foe suffers -1...3...3 Energy degeneration, and you experience +1...3...3 Energy regeneration.
42;Flamme d'énergie;Spell. Target foe loses 1...8...10 Energy and takes 9 damage for each point of Energy lost.
43;Maladresse;Hex Spell. For 4 seconds, target and adjacent foes are hexed with Clumsiness. The next time each foe attacks, the attack is interrupted and that foe suffers 10...76...92 damage.
44;Douleur fantôme;Hex Spell. For 10 seconds, target foe suffers -1...3...4 Health degeneration. When Phantom Pain ends, that foe suffers a Deep Wound, lowering that foe's maximum Health by 20% for 5...17...20 seconds.
45;Fardeau éthéré;Hex Spell.  For 10 seconds, target foe moves 50% slower.  When Ethereal Burden ends, you gain 10...16...18 Energy.
46;Culpabilité;Hex Spell. For 6 seconds, the next time target foe casts a spell that targets a foe, the spell fails and you steal up to 5...12...14 Energy from that foe.
47;Incompétence;Elite Hex Spell. For 4 seconds, the next time target foe or any adjacent foe attacks, they take 30...114...135 damage and are Blinded for 10 seconds.
48;Esprit de l'échec;Hex Spell. For 30 seconds, target foe has a 25% chance to miss with attacks. You gain 1...3...3 Energy whenever that foe fails to hit in combat.
49;Délabrement spirituel;Hex Spell. For 5...33...40 seconds, whenever this foe is the target of any of your non-hex Mesmer skills, that foe loses 1 Energy and takes 5...21...25 damage per point of Energy lost. If the target foe's Energy drops to 0, Mind Wrack ends and that foe takes 15...83...100 damage.
50;Embarras de l'incapable;Hex Spell. After 3 seconds, target foe and all adjacent foes take 20...84...100 damage. If that foe successfully uses a skill, Wastrel's Worry ends prematurely and does no damage.
51;Honte;Hex Spell. For 6 seconds, the next time target foe casts a spell that targets an ally, the spell fails and you steal up to 5...12...14 Energy from that foe.
52;Panique;Elite Hex Spell. For 1...8...10 second[s], target foe and all nearby foes are hexed with Panic. When a foe hexed with Panic successfully uses a skill, all other nearby foes are interrupted.
53;Migraine;Elite Hex Spell. For 5...17...20 seconds, target foe suffers -1...7...8 Health degeneration and takes 100% longer to activate skills.
54;Angoisse paralysante;Elite Hex Spell. For 5...17...20 seconds, target moves and attacks 50% slower and suffers -1...7...8 Health degeneration.
55;Rêves enfiévrés;Elite Hex Spell. For 10...22...25 seconds, whenever target foe suffers from a new condition, all foes in the area suffer from that condition as well. If target foe has two or more conditions that foe is Dazed for 1...3...3 second[s].
56;Images apaisantes;Hex Spell. For 8...18...20 seconds, target foe and all adjacent foes cannot gain adrenaline.
57;Cri de Frustration;Spell. If target foe is using a skill, that foe and all foes in the area are interrupted and suffer 15...63...75 damage.
58;Sceau de minuit;Elite Signet. You and target touched foe become Blinded for 15 seconds.
59;Sceau de lassitude;Signet. Target foe and all nearby foes lose 3...7...8 Energy and suffer from Weakness for 1...10...12 second[s].
61;Sceau sangsue;Signet. Interrupt target foe's action. If that action was a spell, you gain 3...13...15 Energy.
62;Sceau d'humilité;Signet. Target foe's elite skill is disabled for 1...13...16 second[s]. Your non-Mesmer skills are disabled for 10 seconds.
63;Sceau de voûte;Elite Signet. All of your signets except Keystone Signet are recharged. For 20 seconds, the next 0...5...6 time[s] you use a signet that targets a foe, all other foes adjacent to your target take 15...51...60 damage and are interrupted.
65;Mimétisme des Arcanes;Spell. For 20 seconds, Arcane Mimicry becomes the non-form elite skill from target other ally.
66;Chaînes spirituelles;Hex Spell. For 5...17...20 seconds, target foe loses 5 Energy whenever that foe attacks.
67;Annihilateur de maléfices;Spell. Remove a hex from target ally. If a hex is removed, foes near that ally take 30...102...120 damage.
68;Drain d'enchantement;Spell. Remove an enchantment from target foe. If an enchantment is removed, you gain 8...15...17 Energy and 40...104...120 Health.
69;Dissipation des enchantements;Spell. Remove an enchantment from target foe. If an enchantment is removed, that foe takes 14...83...100 damage.
72;Résistance aux éléments;Stance. For 30...78...90 seconds, You gain +40 armor against elemental damage, but you lose 24...14...12 armor against physical damage.
73;Résistance physique;Stance. For 30...78...90 seconds, You gain +40 armor against physical damage, but you lose 24...14...12 armor against elemental damage.
74;Echo;Elite Enchantment Spell. For 30 seconds, Echo is replaced with the next skill you use. Echo acts as this skill for 30 seconds.
75;Echo des Arcanes;Enchantment Spell. If you cast a spell in the next 20 seconds, Arcane Echo is replaced with that spell for 20 seconds. Arcane Echo ends prematurely if you use a non-spell skill.
76;Fardeau imaginaire;Hex Spell. For 8...18...20 seconds, target foe moves 50% slower.
77;Tempête chaotique;Spell. Create a Chaos Storm at target foe's location that lasts for 10 seconds. Each second, foes adjacent to this location take 5...21...25 damage and lose 0...2...2 Energy.
78;Epidémie;Spell. Spread all negative conditions and their remaining durations from target foe to all foes adjacent to your target.
79;Drain d'énergie;Elite Spell. Target foe loses 2...8...9 Energy. You gain 3 Energy for each point of Energy lost.
80;Siphon d'énergie;Spell. Target foe loses 4...6...7 Energy. You gain 2 Energy for each point of Energy lost.
81;Vol des Arcanes;Spell. For 5...29...35 seconds, one random spell is disabled for target foe, and Arcane Thievery is replaced by that spell.
82;Mantra de rappel;Elite Enchantment Spell. For 20 seconds, you gain no benefit from it. You gain 10...22...25 Energy when Mantra of Recall ends.
83;Animation d'horreur squelettique;Spell. Exploit nearest corpse to animate a level 1...14...17 bone horror.
84;Animation de démon squelette;Spell. Exploit nearest corpse to animate a level 1...14...17 bone fiend. Bone fiends can attack at range.
85;Animation de serviteurs squelettes;Spell. Exploit nearest corpse to animate two level 0...10...12 bone minions.
86;Equilibre de Grenth;Elite Spell. If target foe has more Health than you, you gain half the difference (up to your maximum Health), and that foe loses an equal amount. If this foe has less Health than you, you lose half the difference, and that foe gains an equal amount.
