id;start;end
0;2020-01-31T20:00:00Z;2020-02-07T20:00:00Z
1;2020-03-14T19:00:00Z;2020-03-21T19:00:00Z
2;2020-04-01T07:00:00Z;2020-04-02T07:00:00Z
3;2020-04-10T19:00:00Z;2020-04-17T19:00:00Z
4;2020-04-22T19:00:00Z;2020-05-06T19:00:00Z
5;2020-06-27T19:00:00Z;2020-07-04T19:00:00Z
6;2020-07-24T19:00:00Z;2020-07-31T19:00:00Z
7;2020-08-25T19:00:00Z;2020-09-01T19:00:00Z
8;2020-09-13T19:00:00Z;2020-09-20T19:00:00Z
9;2020-10-01T19:00:00Z;2020-11-01T19:00:00Z
10;2020-10-18T19:00:00Z;2020-11-02T19:00:00Z
11;2020-11-21T20:00:00Z;2020-11-28T19:00:00Z
12;2020-12-19T20:00:00Z;2021-01-02T20:00:00Z
13;2021-01-31T20:00:00Z;2021-02-07T20:00:00Z
