id;name
0;Promontoire de Jaya
1;Territoire de Chokhin
2;Gouffre de givre
3;Gueule du Griffon
4;Province de Kinya
5;Iles d'Issnur
6;Moraine de Jaga
7;Banquise de glace
8;Collines de Maishang
9;Falaises de Jahai
10;Terre Déchiquetée
11;Dôme de Glace
12;Domaine du ministre Cho
13;Archipel de Mehtani
14;Vallée de Sacnoth
15;Mine du Cheval de Fer
16;Chemin de Morostav
17;Plaines de Jarin
18;Marais de la lumillule
19;Pic Kesse
20;Chutes Endeuillées
21;Cuvette d'Alkali
22;Lande de Varajar
23;Passage de Lornar
24;Vallée de Pongmei
25;Plaines inondables de Mahnkelon
26;Cascades verdoyantes
27;Refuge royal
28;Palais de Raisu
29;Cité cachée d'Ahdashim
30;Le Cratère de Rhea
31;Lagon de Mamnoun
32;Passage de l'Ombre
33;Le Miroir de Lyss
34;Chemin de Saoshang
35;Plateau Nebo
36;Tunnels de Shenzun
37;Coeur déchiré
38;Plaines Salines
39;Kryte du Nord
40;Ressac silencieux
41;Les Ravins dévastés
42;Pente des Brigands
43;Vieil Ascalon
44;District de Sunjiang
45;Désert Sulfureux
46;Pierres des Mages
47;Roc de la Perdition
48;Vallée de Sunqua
49;Procession de Turai
50;Domaines de Norrhart
51;Plaines Grêlées
52;Temple de Tahnnakai
53;Mines de Vehjin
54;Saillies empoisonnées
55;Chemin du Prophète
56;Le Verger Eternel
57;Fin de Tasca
58;Makuun Resplendissant
59;Marais du Roseau
60;Eaux Endormies
61;Côte de la Raie
62;Confins du Soleil
63;Vallée du Régent
64;Bazar de Waijun
65;Canyons de Yatendi
66;Lacs des Serpents jumeaux
67;Saugeterres
68;Sentier de Xaquang
69;Etendues de Zehlon
70;Racine enchevêtrée
71;Bois-Argent
72;Zen Daijun
73;La Mer Aride
74;Quartiers de Nahpui
75;Etendues célestes
76;La Cicatrice
77;Le Rideau Noir
78;Péninsule de Panjiang
79;Danse du Serpent
80;Val du pèlerin
81;La Brèche du Rempart
82;Marais de Lahtenda
83;Pic de la Tête de Lance
84;Mont Qinkai
85;Côte de Marga
86;Espoir de Melandru
87;Les Chutes
88;Domaine de Joko
89;Moraines du Vautour
90;Terres sauvages de Bahdza
91;Lande de Talmark
92;Vallée de Vehtendi
93;Pente du Talus
94;Sources minérales
95;Rocher de l'Enclume
96;Pierre Arborea
97;Le palais de Witman
98;Quartier d'Arkjok
99;Collines d'Ascalon
100;Cavernes Bahdok
101;Terres maudites
102;Lacis d'Alcazia
103;Les Archipels
104;Frontière orientale
105;Domaine de Dejarin
106;Côte des Tours de Guet
107;Baie d'Arbor
108;Côte Barbare
109;Bassin de Deldrimor
110;Fonds Marins de Boreas
111;Falaises de Dohjok
112;Basses-terres de Diessa
113;Chemin de Bukdek
114;Frontière de Bjora
115;Plateau de Cristal
116;Montée du Devin
117;Plateaux de Dalada
118;Brousses de Drazach
119;Fahranur, première cité
120;Gosier du Dragon
121;Vallon de la Fougère
122;Montagnes de la tribune
123;Congère cuirassée
124;Lac Drakkar
125;Cimesèche
126;Larmes des Déchus
127;Couvoir de Gyala
128;Echine d'Ettin
129;Gandara, la Forteresse de la lune
130;Collines de la Guerre de Grothmar
131;Corridor du Temple de la Flamme
132;Lagon d'Haiju
133;Forêt gelée
134;Jardin de Seborhin
135;L'Empreinte de Grenth
